family,library,operation,size_bytes,mean_mib_per_s,median_mib_per_s,min_mib_per_s,max_mib_per_s
base64url,b64rs,encode,642,4764.709315,4762.927396,4726.187246,4803.149696
base64url,b64rs,encode,692,5587.678706,5600.580913,5518.284847,5615.554332
base64url,b64rs,encode,746,5753.353985,5754.853181,5712.583599,5788.364766
base64url,b64rs,encode,805,5771.443801,5771.465003,5680.627988,5834.026315
base64url,b64rs,encode,868,6227.354679,6206.228509,6116.552540,6465.066091
base64url,b64rs,encode,935,6361.860173,6360.321025,6288.438446,6426.496371
base64url,b64rs,encode,1009,6713.978555,6718.966903,6674.911559,6748.590286
base64url,b64rs,encode,1088,7123.960055,7174.801904,7023.129753,7199.660667
base64url,b64rs,encode,1173,6896.665930,6963.493675,6566.836383,7004.515729
base64url,b64rs,encode,1264,7222.165933,7232.090093,7102.909268,7306.091144
base64url,b64rs,encode,1363,7394.710004,7406.347451,7348.555237,7440.481295
base64url,b64rs,encode,1470,7537.732872,7543.284160,7500.455009,7571.952446
base64url,b64rs,encode,1585,7797.351347,7779.148370,7722.383822,7877.786323
base64url,b64rs,encode,1709,7753.876795,7799.322178,7516.724227,7899.994137
base64url,b64rs,encode,1843,8445.431934,8393.115310,8298.511418,8624.822231
base64url,b64rs,encode,1987,8190.570332,8163.135666,8002.363785,8497.077268
base64url,b64rs,encode,2143,8499.417008,8468.591722,8305.590540,8793.991731
base64url,b64rs,encode,2310,8119.908003,8102.507245,8027.262960,8272.759315
base64url,b64rs,encode,2491,8765.680874,8748.153306,8740.217604,8798.841686
base64url,b64rs,encode,2686,8765.297911,8803.773999,8617.287473,8908.630368
base64url,b64rs,encode,2896,8558.448877,8642.961474,8242.971942,8785.430883
base64url,b64rs,encode,3123,8784.498885,8746.265627,8595.824481,9082.481877
base64url,b64rs,encode,3367,8430.227060,8350.125453,8333.562723,8727.526314
base64url,b64rs,encode,3631,8980.852550,9029.524158,8702.633661,9187.995599
base64url,b64rs,encode,3915,8006.827099,8056.137390,7659.316034,8416.902109
base64url,b64rs,encode,4096,9234.868159,9180.004432,9028.614124,9594.001240
base64url,b64rs,encode,4552,9317.215675,9282.039702,9196.079730,9564.440311
base64url,b64rs,encode,4908,8364.324660,8398.136726,7263.527946,9016.017656
base64url,b64rs,encode,5292,9732.438918,9584.071723,9553.442185,10062.680181
base64url,b64rs,encode,5706,9578.952760,9657.237668,9199.484390,9728.116477
base64url,b64rs,encode,6152,9931.669709,9917.477709,9898.757077,9998.214976
base64url,b64rs,encode,6634,9736.358475,9721.558219,9691.199953,9780.712082
base64url,b64rs,encode,7153,9940.676136,9790.213157,9756.547289,10238.221315
base64url,b64rs,encode,7713,10190.065272,10121.797434,9940.868797,10509.927738
base64url,b64rs,encode,8316,10048.148861,9706.483847,9619.669183,10864.100879
base64url,b64rs,encode,8967,10111.281187,9975.110198,9869.019201,10458.339389
base64url,b64rs,encode,9669,9568.075430,9865.370716,8233.035881,10676.970980
base64url,b64rs,encode,10425,10124.620146,10195.665186,9974.837110,10219.302218
base64url,b64rs,encode,11241,10672.626953,10641.967881,10452.153927,10850.484005
base64url,b64rs,encode,12121,10993.358710,10900.441673,10697.800359,11311.043474
base64url,b64rs,encode,13069,11053.850707,10932.445038,10927.549496,11241.080134
base64url,b64rs,encode,14092,9904.449313,9835.725823,8950.817574,10800.739217
base64url,b64rs,encode,15195,11034.079993,11058.799764,10963.598534,11077.612076
base64url,b64rs,encode,16384,10857.195424,10953.516216,10539.447516,11118.300982
base64url,b64rs,encode,17666,11046.226093,11065.349453,10959.434269,11083.318974
base64url,b64rs,encode,19049,11223.587943,11200.934725,11034.587789,11392.844073
base64url,b64rs,encode,20539,10977.475958,10858.812160,10831.948873,11181.879674
base64url,b64rs,encode,22146,11332.147029,11365.609978,11177.960415,11380.955950
base64url,b64rs,encode,23879,10992.506895,11045.088922,10836.572396,11065.775281
base64url,b64rs,encode,25748,11932.850741,12108.120987,11330.193196,12172.107588
base64url,b64rs,encode,27763,11654.779399,11686.065850,11383.254489,11869.014107
base64url,b64rs,encode,29935,12178.712420,12273.824714,11970.879236,12284.678616
base64url,b64rs,encode,32278,12152.832473,12148.215493,12111.757115,12188.239422
base64url,b64rs,encode,34804,11951.651368,12002.874487,11709.108465,12090.738666
base64url,b64rs,encode,37527,12112.246932,12029.731951,11851.075304,12456.458380
base64url,b64rs,encode,40464,12132.105070,12162.664636,11916.626728,12326.411783
base64url,b64rs,encode,43630,11517.116143,11350.920061,11252.329584,11829.832968
base64url,b64rs,encode,47045,12126.066940,11959.661938,11858.305653,12487.329354
base64url,b64rs,encode,50726,11802.204457,11738.209907,11592.528939,12251.163061
base64url,b64rs,encode,54695,12249.171414,12237.747237,12120.755995,12398.094664
base64url,b64rs,encode,58975,12125.277995,11972.525017,11868.383877,12475.048517
base64url,b64rs,encode,65536,12049.127427,12100.293091,11906.594297,12107.470014
base64url,b64rs,encode,68567,12047.301734,12223.169341,11559.457058,12383.960218
base64url,b64rs,encode,73932,11566.885980,11456.882252,11046.214409,12178.799026
base64url,b64rs,encode,79717,11356.493684,11444.233972,10646.151355,11723.941685
base64url,b64rs,encode,85956,10807.576166,10656.065235,10526.267344,11189.068191
base64url,b64rs,encode,92682,11791.011333,11792.362329,11699.190258,11845.703482
base64url,b64rs,encode,99935,11127.303557,11027.946579,10977.083541,11542.665866
base64url,b64rs,encode,107755,8935.630570,8837.971998,7908.642221,9784.554988
base64url,b64rs,encode,116187,10805.303510,10898.176544,10206.574307,11099.118014
base64url,b64rs,encode,125279,10404.371122,10167.587215,9790.054259,11005.726161
base64url,b64rs,encode,135082,10445.991506,10475.757210,10239.999664,10637.790021
base64url,b64rs,encode,145653,11117.883628,11189.410927,10217.450251,11535.327585
base64url,b64rs,encode,157051,10301.627110,10386.193527,9144.748977,10902.203142
base64url,b64rs,encode,169340,10768.225831,10916.387465,9495.781066,11621.306826
base64url,b64rs,encode,182592,9991.741979,10155.367941,9590.553905,10268.759584
base64url,b64rs,encode,196880,10648.575924,10879.171760,9816.634897,11212.797857
base64url,b64rs,encode,212286,9638.622115,9422.033390,8611.275475,10710.099762
base64url,b64rs,encode,228898,9665.639059,9687.854903,8989.938335,10436.491863
base64url,b64rs,encode,246810,9107.998638,8503.493096,8367.634819,10503.859006
base64url,b64rs,encode,266124,10433.336351,10462.305944,10168.589652,10592.575901
base64url,b64rs,encode,286949,9442.395924,9379.442432,9168.748694,9857.033459
base64url,b64rs,encode,309404,8927.018258,8973.336128,8361.525350,9292.313812
base64url,b64rs,encode,333615,9568.757368,9208.003661,8687.907604,10440.885417
base64url,b64rs,encode,359722,8504.158723,8478.329142,8340.609176,8801.605613
base64url,b64rs,encode,387871,9272.805242,9220.205609,8906.947221,9581.275111
base64url,b64rs,encode,418223,7293.164314,7326.350721,6975.207136,7704.296427
base64url,b64rs,encode,450950,6277.370922,6123.414170,5998.218893,6667.890384
base64url,b64rs,encode,486238,7001.953813,6990.139741,6801.063740,7230.462786
base64url,b64rs,encode,524288,6246.264644,6461.449107,5853.876713,6470.468491
base64url,b64rs,encode,565315,6183.619854,6201.488424,5971.714623,6430.419802
base64url,b64rs,encode,609553,6307.365643,6429.557102,5694.305766,6556.046203
base64url,b64rs,encode,657252,6552.302003,6556.492020,6345.338004,6739.421163
base64url,b64rs,encode,708684,6445.026238,6411.581460,6210.770886,6669.470315
base64url,b64rs,encode,764140,6422.472593,6398.882372,6259.674708,6555.003139
base64url,b64rs,encode,823937,7248.422441,7272.564668,7036.587981,7427.005678
base64url,b64rs,encode,888412,6912.561793,6896.071803,6811.271368,7021.118235
base64url,b64rs,encode,957933,7139.582171,7176.188905,6568.756878,7435.702845
base64url,b64rs,encode,1048576,6892.545972,6892.685179,6697.644608,7013.187477
base64url,b64rs,encode,1113721,6705.579999,6853.935575,5853.818802,7047.775337
base64url,b64rs,encode,1200873,6771.007343,6860.217760,6040.689645,7108.450863
base64url,b64rs,encode,1294845,6134.002885,6973.634707,4220.570548,7312.904293
base64url,b64rs,encode,1396170,7813.502799,7753.852029,7712.021159,8051.520640
base64url,b64rs,encode,1505425,7863.384950,7842.194791,7793.252766,7948.001769
base64url,b64rs,encode,1623229,6043.328847,6247.402257,5279.447169,6502.525950
base64url,b64rs,encode,1750251,7681.658609,7719.139380,7601.631462,7752.735738
base64url,b64rs,encode,1887213,7756.587227,7730.217882,7648.925418,7851.571767
base64url,b64rs,encode,2034893,7989.846337,7918.592049,7837.236652,8240.586637
base64url,b64rs,encode,2194130,7675.745599,7606.753990,7322.019635,8117.047284
base64url,b64rs,encode,2365827,7216.319307,7234.911553,6806.521593,7625.929538
base64url,b64rs,encode,2550960,7953.449669,7917.325646,7545.064475,8392.736237
base64url,b64rs,encode,2750580,7683.514839,7674.983365,7399.942111,7846.020662
base64url,b64rs,encode,2965821,7326.146457,7331.184347,6873.028149,7761.929795
base64url,b64rs,encode,3197905,6538.940342,6488.223288,6272.683819,7045.050963
base64url,b64rs,encode,3448150,7694.487106,7628.226530,7259.731096,8277.852784
base64url,b64rs,encode,3717978,7897.750340,7953.283848,7501.250033,8192.729887
base64url,b64rs,encode,4008921,7801.949694,7689.680734,7481.313875,8157.719238
base64url,b64rs,encode,4194304,8325.404158,8155.381479,7989.627501,9048.696273
base64url,b64rs,encode,4660890,9162.976837,8858.113017,8272.452653,10532.260803
base64url,b64rs,encode,5025618,9023.660565,8822.669053,8765.238704,9493.566301
base64url,b64rs,encode,5418887,9344.150661,9305.954690,8764.964605,10140.244752
base64url,b64rs,encode,5842931,9453.061907,9140.525120,8413.794834,11448.888986
base64url,b64rs,encode,6300158,9496.627258,9635.301745,8344.031766,10836.456079
base64url,b64rs,encode,6793164,9451.152320,9860.678895,6933.109973,10489.126637
base64url,b64rs,encode,7324749,10906.104066,11249.189051,9318.514877,11998.914156
